topology,trial,model,top1,top5,top10,bias,avg_hop_error,first_detect_time,wall_time_s
Regular,14,DeepTrace++,0,0,0,23232.5762,3,,0.2881
Regular,14,Rumor Center,1,1,1,,0,200.0,0.0069
Regular,15,DeepTrace,0,0,0,20596.6055,4,,0.2054
Regular,15,DT++ enriched,0,0,0,19526.8125,4,,0.2906
Regular,15,DT++ weighted,0,0,0,20698.4121,4,,0.2098
Regular,15,DeepTrace++,0,0,0,20445.6719,2,,0.2814
Regular,15,Rumor Center,1,1,1,,0,200.0,0.007
Regular,16,DeepTrace,0,0,0,22247.7793,4,,0.2223
Regular,16,DT++ enriched,0,0,0,21160.2246,4,,0.296
Regular,16,DT++ weighted,0,0,0,22516.9902,4,,0.2175
Regular,16,DeepTrace++,0,0,0,22199.4668,4,,0.299
Regular,16,Rumor Center,1,1,1,,0,200.0,0.0072
Regular,17,DeepTrace,0,0,0,22630.7266,4,,0.2159
Regular,17,DT++ enriched,0,0,0,21552.0801,4,,0.287
Regular,17,DT++ weighted,0,0,0,22846.8516,5,,0.2141
Regular,17,DeepTrace++,0,0,0,22591.6426,5,,0.2351
Regular,17,Rumor Center,1,1,1,,0,200.0,0.0069
Regular,18,DeepTrace,0,0,0,19769.5078,4,,0.283
Regular,18,DT++ enriched,0,0,0,19053.7832,4,,0.2349
Regular,18,DT++ weighted,0,0,0,20282.6953,3,,0.2785
Regular,18,DeepTrace++,0,0,0,19833.793,3,,0.2281
Regular,18,Rumor Center,1,1,1,,0,200.0,0.0066
Regular,19,DeepTrace,0,0,0,24998.123,5,,0.2793
Regular,19,DT++ enriched,0,0,0,23867.6348,4,,0.2334
Regular,19,DT++ weighted,0,0,0,25234.2148,5,,0.2785
Regular,19,DeepTrace++,0,0,0,24943.0391,5,,0.233
Regular,19,Rumor Center,0,1,1,,1,200.0,0.0069
SBM,0,DeepTrace,1,1,1,10939.4766,0,200.0,1.4722
SBM,0,DT++ enriched,1,1,1,9911.0166,0,200.0,1.5014
SBM,0,DT++ weighted,1,1,1,10817.8223,0,200.0,1.405
SBM,0,DeepTrace++,1,1,1,10739.5967,0,200.0,1.4992
SBM,0,Rumor Center,1,1,1,,0,200.0,0.0068
SBM,1,DeepTrace,0,0,0,13252.415,2,200.0,1.5809
SBM,1,DT++ enriched,0,0,0,12227.8174,2,200.0,1.6212
SBM,1,DT++ weighted,0,0,0,13225.5273,2,200.0,1.5045
SBM,1,DeepTrace++,0,0,0,13040.0049,2,200.0,1.6066
SBM,1,Rumor Center,1,1,1,,0,200.0,0.0068
SBM,2,DeepTrace,0,0,0,10917.8359,2,200.0,1.5401
SBM,2,DT++ enriched,0,0,0,10028.2314,2,200.0,1.5359
SBM,2,DT++ weighted,0,0,0,10842.6094,2,200.0,1.436
SBM,2,DeepTrace++,0,0,0,10684.4131,2,200.0,1.6018
SBM,2,Rumor Center,1,1,1,,0,200.0,0.0067
SBM,3,DeepTrace,0,0,0,8220.2061,2,200.0,1.4598
SBM,3,DT++ enriched,0,0,0,7269.7393,2,200.0,1.5549
